Initialising LIS3DH
Successfully connected to LIS3DH at address 0x18
WRT 0b1110111 to register 0x20
WRT 0b1110111 to register 0x20
WRT 0b1110111 to register 0x20
WRT 0b1110111 to register 0x20
WRT 0b10001000 to register 0x23
WRT 0b10001000 to register 0x23
WRT 0b10001000 to register 0x23
WRT 0b10001000 to register 0x23
WRT 0b10000000 to register 0x22
WRT 0b1000 to register 0x24
WRT 0b10101 to register 0x38
WRT 0b1010000 to register 0x3A
WRT 0b1010 to register 0x3B
WRT 0b10100 to register 0x3C
WRT 0b1100100 to register 0x3D
Starting stream
X: -0.695482	Y: -0.624176	Z: -0.265690
X: -0.696459	Y: -0.636874	Z: -0.232479
X: -0.701343	Y: -0.631990	Z: -0.228571
X: -0.681807	Y: -0.645665	Z: -0.230525
X: -0.686691	Y: -0.652503	Z: -0.246154
X: -0.702320	Y: -0.642735	Z: -0.235409
X: -0.676923	Y: -0.643712	Z: -0.283272
X: -0.671062	Y: -0.652503	Z: -0.246154
X: -0.669109	Y: -0.660317	Z: -0.293040
X: -0.687668	Y: -0.650549	Z: -0.225641
X: -0.699389	Y: -0.641758	Z: -0.253968
X: -0.677900	Y: -0.633944	Z: -0.240293
X: -0.663248	Y: -0.657387	Z: -0.256899
X: -0.664225	Y: -0.671062	Z: -0.277411
X: -0.677900	Y: -0.636874	Z: -0.262759
X: -0.663248	Y: -0.660317	Z: -0.246154
X: -0.673993	Y: -0.667155	Z: -0.229548
X: -0.677900	Y: -0.643712	Z: -0.238339
X: -0.681807	Y: -0.639805	Z: -0.250061
X: -0.683761	Y: -0.643712	Z: -0.244200
X: -0.630037	Y: -0.585104	Z: -0.235409
X: -0.590965	Y: -0.638828	Z: -0.185592
X: -0.750183	Y: -0.646642	Z: -0.253968
X: -0.645665	Y: -0.673016	Z: -0.290110
X: -0.649573	Y: -0.634921	Z: -0.234432
X: -0.705250	Y: -0.676923	Z: -0.304762
X: -0.639805	Y: -0.647619	Z: -0.292063
X: -0.684737	Y: -0.652503	Z: -0.260806
X: -0.665201	Y: -0.645665	Z: -0.272527
X: -0.635897	Y: -0.639805	Z: -0.295971
X: -0.699389	Y: -0.666178	Z: -0.266667
X: -0.651526	Y: -0.640781	Z: -0.233455
X: -0.637851	Y: -0.641758	Z: -0.275458
X: -0.702320	Y: -0.673993	Z: -0.302808
X: -0.652503	Y: -0.640781	Z: -0.262759
X: -0.659341	Y: -0.660317	Z: -0.258852
X: -0.678877	Y: -0.649573	Z: -0.205128
X: -0.651526	Y: -0.638828	Z: -0.292063
X: -0.701343	Y: -0.655433	Z: -0.260806
X: -0.660317	Y: -0.645665	Z: -0.278388
X: -0.654457	Y: -0.648596	Z: -0.273504
X: -0.703297	Y: -0.662271	Z: -0.273504
X: -0.652503	Y: -0.644689	Z: -0.256899
X: -0.653480	Y: -0.655433	Z: -0.236386
X: -0.686691	Y: -0.661294	Z: -0.279365
X: -0.649573	Y: -0.637851	Z: -0.248107
X: -0.669109	Y: -0.654457	Z: -0.242247
X: -0.667155	Y: -0.647619	Z: -0.229548
X: -0.655433	Y: -0.670085	Z: -0.280342
X: -0.691575	Y: -0.664225	Z: -0.249084
X: -0.655433	Y: -0.653480	Z: -0.221734
X: -0.656410	Y: -0.657387	Z: -0.238339
X: -0.681807	Y: -0.660317	Z: -0.252015
X: -0.662271	Y: -0.655433	Z: -0.262759
X: -0.667155	Y: -0.649573	Z: -0.289133
X: -0.664225	Y: -0.661294	Z: -0.274481
X: -0.659341	Y: -0.658364	Z: -0.288156
X: -0.664225	Y: -0.660317	Z: -0.282295
X: -0.664225	Y: -0.656410	Z: -0.309646
X: -0.658364	Y: -0.659341	Z: -0.264713
X: -0.658364	Y: -0.662271	Z: -0.253968
X: -0.662271	Y: -0.646642	Z: -0.279365
X: -0.661294	Y: -0.680830	Z: -0.279365
X: -0.661294	Y: -0.659341	Z: -0.302808
X: -0.721856	Y: -0.660317	Z: -0.353602
X: -0.624176	Y: -0.686691	Z: -0.280342
X: -0.625153	Y: -0.654457	Z: -0.284249
X: -0.658364	Y: -0.665201	Z: -0.234432
X: -0.686691	Y: -0.671062	Z: -0.264713
X: -0.662271	Y: -0.672039	Z: -0.319414
X: -0.631990	Y: -0.656410	Z: -0.271551
X: -0.639805	Y: -0.670085	Z: -0.260806
X: -0.645665	Y: -0.642735	Z: -0.210989
X: -0.679853	Y: -0.678877	Z: -0.268620
X: -0.671062	Y: -0.672039	Z: -0.258852
X: -0.634921	Y: -0.663248	Z: -0.263736
X: -0.652503	Y: -0.657387	Z: -0.234432
X: -0.685714	Y: -0.658364	Z: -0.242247
X: -0.676923	Y: -0.677900	Z: -0.252015
X: -0.645665	Y: -0.664225	Z: -0.258852
X: -0.646642	Y: -0.664225	Z: -0.276435
X: -0.662271	Y: -0.656410	Z: -0.264713
X: -0.675946	Y: -0.679853	Z: -0.297924
X: -0.668132	Y: -0.655433	Z: -0.240293
X: -0.646642	Y: -0.666178	Z: -0.274481
X: -0.655433	Y: -0.662271	Z: -0.260806
X: -0.670085	Y: -0.673993	Z: -0.227595
X: -0.678877	Y: -0.661294	Z: -0.282295
X: -0.658364	Y: -0.661294	Z: -0.312576
X: -0.654457	Y: -0.663248	Z: -0.260806
X: -0.659341	Y: -0.651526	Z: -0.264713
X: -0.673993	Y: -0.672039	Z: -0.237363
X: -0.670085	Y: -0.659341	Z: -0.294017
X: -0.669109	Y: -0.664225	Z: -0.237363
X: -0.662271	Y: -0.662271	Z: -0.248107
X: -0.664225	Y: -0.658364	Z: -0.254945
X: -0.664225	Y: -0.663248	Z: -0.226618
X: -0.654457	Y: -0.673993	Z: -0.277411
X: -0.663248	Y: -0.664225	Z: -0.246154
X: -0.662271	Y: -0.678877	Z: -0.293040
X: -0.662271	Y: -0.657387	Z: -0.210989
X: -0.608547	Y: -0.657387	Z: -0.252991
X: -0.649573	Y: -0.708181	Z: -0.205128
X: -0.646642	Y: -0.690598	Z: -0.289133
X: -0.635897	Y: -0.656410	Z: -0.247131
X: -0.659341	Y: -0.671062	Z: -0.233455
X: -0.685714	Y: -0.678877	Z: -0.248107
X: -0.644689	Y: -0.670085	Z: -0.306716
X: -0.633944	Y: -0.653480	Z: -0.245177
X: -0.673016	Y: -0.677900	Z: -0.243223
X: -0.687668	Y: -0.685714	Z: -0.245177
X: -0.645665	Y: -0.654457	Z: -0.277411
X: -0.650549	Y: -0.663248	Z: -0.278388
X: -0.659341	Y: -0.665201	Z: -0.221734
X: -0.650549	Y: -0.673016	Z: -0.280342
X: -0.643712	Y: -0.662271	Z: -0.280342
X: -0.667155	Y: -0.661294	Z: -0.292063
X: -0.668132	Y: -0.673993	Z: -0.218803
X: -0.649573	Y: -0.660317	Z: -0.294994
X: -0.655433	Y: -0.659341	Z: -0.251038
X: -0.668132	Y: -0.665201	Z: -0.233455
X: -0.670085	Y: -0.666178	Z: -0.250061
X: -0.649573	Y: -0.669109	Z: -0.223687
X: -0.658364	Y: -0.671062	Z: -0.241270
X: -0.671062	Y: -0.673016	Z: -0.230525
X: -0.658364	Y: -0.665201	Z: -0.262759
X: -0.652503	Y: -0.675946	Z: -0.290110
X: -0.662271	Y: -0.662271	Z: -0.238339
X: -0.661294	Y: -0.667155	Z: -0.268620
X: -0.654457	Y: -0.668132	Z: -0.260806
X: -0.660317	Y: -0.674969	Z: -0.245177
X: -0.661294	Y: -0.672039	Z: -0.298901
X: -0.655433	Y: -0.673993	Z: -0.281319
X: -0.653480	Y: -0.675946	Z: -0.247131
X: -0.651526	Y: -0.669109	Z: -0.257875
X: -0.652503	Y: -0.678877	Z: -0.256899
X: -0.656410	Y: -0.671062	Z: -0.264713
X: -0.655433	Y: -0.671062	Z: -0.208059
X: -0.653480	Y: -0.677900	Z: -0.216850
X: -0.655433	Y: -0.656410	Z: -0.258852
X: -0.657387	Y: -0.674969	Z: -0.243223
X: -0.650549	Y: -0.670085	Z: -0.275458
X: -0.655433	Y: -0.672039	Z: -0.241270
X: -0.651526	Y: -0.677900	Z: -0.269597
X: -0.658364	Y: -0.669109	Z: -0.234432
X: -0.653480	Y: -0.671062	Z: -0.259829
X: -0.649573	Y: -0.680830	Z: -0.231502
X: -0.650549	Y: -0.676923	Z: -0.248107
X: -0.646642	Y: -0.675946	Z: -0.271551
X: -0.666178	Y: -0.686691	Z: -0.257875
X: -0.635897	Y: -0.678877	Z: -0.245177
X: -0.630037	Y: -0.659341	Z: -0.205128
X: -0.659341	Y: -0.677900	Z: -0.272527
X: -0.623199	Y: -0.691575	Z: -0.266667
X: -0.641758	Y: -0.663248	Z: -0.241270
X: -0.663248	Y: -0.681807	Z: -0.249084
X: -0.679853	Y: -0.661294	Z: -0.224664
X: -0.663248	Y: -0.655433	Z: -0.224664
X: -0.673993	Y: -0.685714	Z: -0.235409
X: -0.669109	Y: -0.661294	Z: -0.195360
X: -0.681807	Y: -0.648596	Z: -0.209035
X: -0.683761	Y: -0.663248	Z: -0.186569
X: -0.659341	Y: -0.673016	Z: -0.239316
X: -0.656410	Y: -0.661294	Z: -0.182662
X: -0.652503	Y: -0.678877	Z: -0.216850
X: -0.672039	Y: -0.667155	Z: -0.263736
X: -0.651526	Y: -0.673993	Z: -0.276435
X: -0.655433	Y: -0.650549	Z: -0.199267
X: -0.680830	Y: -0.658364	Z: -0.261783
X: -0.682784	Y: -0.662271	Z: -0.306716
X: -0.666178	Y: -0.654457	Z: -0.231502
X: -0.680830	Y: -0.662271	Z: -0.262759
X: -0.641758	Y: -0.671062	Z: -0.234432
X: -0.649573	Y: -0.650549	Z: -0.210989
X: -0.667155	Y: -0.665201	Z: -0.268620
X: -0.664225	Y: -0.677900	Z: -0.302808
X: -0.655433	Y: -0.654457	Z: -0.265690
X: -0.673993	Y: -0.668132	Z: -0.233455
X: -0.674969	Y: -0.649573	Z: -0.273504
X: -0.674969	Y: -0.661294	Z: -0.260806
X: -0.673016	Y: -0.662271	Z: -0.227595
X: -0.663248	Y: -0.658364	Z: -0.239316
X: -0.671062	Y: -0.668132	Z: -0.287179
X: -0.658364	Y: -0.677900	Z: -0.259829
X: -0.668132	Y: -0.648596	Z: -0.268620
X: -0.669109	Y: -0.667155	Z: -0.246154
X: -0.670085	Y: -0.671062	Z: -0.234432
X: -0.666178	Y: -0.659341	Z: -0.232479
X: -0.671062	Y: -0.664225	Z: -0.222711
X: -0.672039	Y: -0.665201	Z: -0.201221
X: -0.668132	Y: -0.663248	Z: -0.197314
X: -0.665201	Y: -0.671062	Z: -0.220757
X: -0.666178	Y: -0.669109	Z: -0.249084
X: -0.663248	Y: -0.667155	Z: -0.228571
X: -0.660317	Y: -0.654457	Z: -0.234432
X: -0.661294	Y: -0.668132	Z: -0.252015
X: -0.664225	Y: -0.663248	Z: -0.242247
X: -0.667155	Y: -0.664225	Z: -0.285226
X: -0.661294	Y: -0.667155	Z: -0.241270
X: -0.664225	Y: -0.668132	Z: -0.225641
X: -0.656410	Y: -0.642735	Z: -0.284249
X: -0.660317	Y: -0.655433	Z: -0.274481
X: -0.655433	Y: -0.673016	Z: -0.213919
X: -0.662271	Y: -0.669109	Z: -0.221734
X: -0.653480	Y: -0.674969	Z: -0.294017
X: -0.640781	Y: -0.685714	Z: -0.261783
X: -0.652503	Y: -0.681807	Z: -0.243223
X: -0.658364	Y: -0.670085	Z: -0.247131
X: -0.724786	Y: -0.555800	Z: -0.191453
X: -0.643712	Y: -0.656410	Z: -0.198291
X: -0.647619	Y: -0.696459	Z: -0.243223
X: -0.626129	Y: -0.664225	Z: -0.221734
X: -0.671062	Y: -0.699389	Z: -0.279365
X: -0.632967	Y: -0.663248	Z: -0.236386
X: -0.657387	Y: -0.687668	Z: -0.248107
X: -0.665201	Y: -0.698413	Z: -0.220757
X: -0.643712	Y: -0.687668	Z: -0.249084
X: -0.669109	Y: -0.655433	Z: -0.249084
X: -0.655433	Y: -0.659341	Z: -0.255922
X: -0.648596	Y: -0.676923	Z: -0.250061
X: -0.657387	Y: -0.657387	Z: -0.222711
X: -0.645665	Y: -0.709158	Z: -0.286203
X: -0.632967	Y: -0.659341	Z: -0.268620
X: -0.646642	Y: -0.693529	Z: -0.242247
X: -0.638828	Y: -0.681807	Z: -0.231502
X: -0.640781	Y: -0.675946	Z: -0.234432
X: -0.659341	Y: -0.693529	Z: -0.271551
X: -0.649573	Y: -0.690598	Z: -0.249084
X: -0.661294	Y: -0.672039	Z: -0.258852
X: -0.648596	Y: -0.670085	Z: -0.243223
X: -0.641758	Y: -0.682784	Z: -0.287179
