X: 0.011722	Y: 0.074237	Z: 1.003175
X: 0.004884	Y: 0.035165	Z: 1.026618
X: 0.004884	Y: 0.019536	Z: 0.995360
X: 0.004884	Y: 0.009768	Z: 1.010012
X: -0.034188	Y: 0.033211	Z: 0.996337
X: -0.009768	Y: 0.027350	Z: 1.006105
X: -0.003907	Y: 0.030281	Z: 1.010989
X: -0.003907	Y: 0.035165	Z: 0.992430
X: -0.005861	Y: 0.026374	Z: 1.002198
X: -0.005861	Y: 0.041026	Z: 1.026618
X: -0.007814	Y: 0.025397	Z: 1.037363
X: -0.006838	Y: 0.039072	Z: 1.000244
X: -0.005861	Y: 0.030281	Z: 1.002198
X: -0.001954	Y: 0.041026	Z: 1.019780
X: -0.004884	Y: 0.029304	Z: 1.001221
X: -0.010745	Y: 0.025397	Z: 0.989499
X: -0.005861	Y: 0.030281	Z: 1.012943
X: -0.009768	Y: 0.041026	Z: 1.006105
X: -0.003907	Y: 0.028327	Z: 1.016850
X: -0.006838	Y: 0.033211	Z: 1.001221
X: -0.007814	Y: 0.022466	Z: 0.996337
X: -0.008791	Y: 0.029304	Z: 0.998291
X: -0.001954	Y: 0.028327	Z: 1.007082
X: -0.009768	Y: 0.028327	Z: 0.986569
X: -0.001954	Y: 0.032234	Z: 1.016850
X: -0.005861	Y: 0.026374	Z: 1.012943
X: -0.005861	Y: 0.028327	Z: 0.975824
X: -0.004884	Y: 0.029304	Z: 0.995360
X: -0.003907	Y: 0.024420	Z: 0.962149
X: -0.003907	Y: 0.038095	Z: 1.025641
X: -0.005861	Y: 0.031258	Z: 1.001221
X: -0.005861	Y: 0.034188	Z: 1.007082
X: -0.003907	Y: 0.033211	Z: 1.013919
X: -0.001954	Y: 0.048840	Z: 0.990476
X: -0.008791	Y: 0.032234	Z: 0.990476
X: -0.003907	Y: 0.040049	Z: 1.010989
X: -0.008791	Y: 0.031258	Z: 1.033455
X: 0.048840	Y: 0.035165	Z: 1.015873
X: -0.005861	Y: 0.038095	Z: 0.997314
X: -0.008791	Y: 0.031258	Z: 1.007082
X: -0.003907	Y: 0.038095	Z: 1.010989
X: -0.005861	Y: 0.034188	Z: 0.983639
X: -0.009768	Y: 0.028327	Z: 1.018803
X: -0.009768	Y: 0.027350	Z: 1.000244
X: -0.003907	Y: 0.032234	Z: 1.010012
X: -0.004884	Y: 0.031258	Z: 0.968987
X: -0.006838	Y: 0.025397	Z: 0.973871
X: 0.000000	Y: 0.039072	Z: 1.021734
X: -0.002930	Y: 0.027350	Z: 1.004151
X: -0.004884	Y: 0.046886	Z: 1.018803
X: -0.002930	Y: 0.030281	Z: 0.988523
X: -1.432967	Y: 1.245421	Z: 0.899634
X: -0.000977	Y: 0.026374	Z: 1.045177
X: 0.341880	Y: -0.084982	Z: 1.482784
X: -0.003907	Y: 0.032234	Z: 1.021734
X: -0.006838	Y: 0.033211	Z: 0.969963
X: -0.005861	Y: 0.028327	Z: 0.971917
X: -0.004884	Y: 0.029304	Z: 0.998291
X: -0.005861	Y: 0.031258	Z: 0.998291
X: -0.004884	Y: 0.028327	Z: 0.984615
X: -0.004884	Y: 0.031258	Z: 1.017827
X: -0.004884	Y: 0.026374	Z: 1.021734
X: -0.007814	Y: 0.031258	Z: 0.994383
X: -0.012698	Y: 0.025397	Z: 0.985592
X: -0.004884	Y: 0.032234	Z: 0.995360
X: -0.011722	Y: 0.025397	Z: 1.030525
X: -0.008791	Y: 0.034188	Z: 0.986569
X: -0.004884	Y: 0.036142	Z: 1.016850
X: -0.004884	Y: 0.040049	Z: 0.986569
X: -0.004884	Y: 0.028327	Z: 1.003175
X: -0.006838	Y: 0.033211	Z: 1.018803
X: -0.008791	Y: 0.016606	Z: 0.988523
X: -0.006838	Y: 0.028327	Z: 0.973871
X: -0.017582	Y: 0.029304	Z: 0.902564
X: -0.009768	Y: 0.032234	Z: 1.007082
